date,anchor,side,entry,orig_outcome,orig_exit,orig_pnl,rescue_fired,rescue_entry,rescue_outcome,rescue_exit,rescue_pnl,combined_pnl_baseline,combined_pnl_rescue
2026-01-01,4325.94,SHORT,4315.94,Trail,4315.04,45.0,False,,,,0,45.0,45.0
2026-01-06,4443.32,LONG,4453.32,Trail,4453.62,15.0,False,,,,0,15.0,15.0
2026-01-07,4487.27,LONG,4497.27,Trail,4497.57,15.0,False,,,,0,15.0,15.0
2026-01-08,4455.32,LONG,4465.32,Trail,4465.62,15.0,False,,,,0,15.0,15.0
2026-01-09,4451.92,LONG,4461.92,Trail,4462.22,15.0,False,,,,0,15.0,15.0
2026-01-13,4604.6,LONG,4614.6,BE,4614.6,0.0,False,,,,0,0.0,0.0
2026-01-14,4591.62,LONG,4601.62,BE,4601.62,0.0,False,,,,0,0.0,0.0
2026-01-15,4630.23,LONG,4640.23,Trail,4642.33,105.0,False,,,,0,105.0,105.0
2026-01-16,4614.94,SHORT,4604.94,Trail,4604.64,15.0,False,,,,0,15.0,15.0
2026-01-20,4677.74,SHORT,4667.74,Trail,4667.44,15.0,False,,,,0,15.0,15.0
2026-01-21,4760.97,SHORT,4750.97,Trail,4750.67,15.0,False,,,,0,15.0,15.0
2026-01-22,4836.32,LONG,4846.32,Trail,4848.72,120.0,False,,,,0,120.0,120.0
2026-01-23,4909.0,LONG,4919.0,BE,4919.0,0.0,False,,,,0,0.0,0.0
2026-01-27,5082.79,SHORT,5072.79,Trail,5071.59,60.0,False,,,,0,60.0,60.0
2026-01-28,5088.81,LONG,5098.81,Trail,5099.11,15.0,False,,,,0,15.0,15.0
2026-01-29,5290.75,LONG,5300.75,TP,5303.75,150.0,True,5290.75,Trail,5290.45,15.0,150.0,165.0
2026-01-30,5333.38,SHORT,5323.38,Trail,5322.78,30.0,True,5333.38,Trail,5335.48,105.0,30.0,135.0
2026-02-03,4645.57,SHORT,4635.57,TP,4632.57,150.0,True,4645.57,TP,4648.57,150.0,150.0,300.0
2026-02-04,4917.13,SHORT,4907.13,Trail,4906.53,30.0,True,4917.13,Trail,4918.03,45.0,30.0,75.0
2026-02-05,4925.48,SHORT,4915.48,TP,4912.48,150.0,False,,,,0,150.0,150.0
2026-02-06,4858.72,LONG,4868.72,Trail,4869.32,30.0,True,4858.72,BE,4858.72,0.0,30.0,30.0
2026-02-10,5050.28,LONG,5060.28,Trail,5060.88,30.0,False,,,,0,30.0,30.0
2026-02-11,5005.31,LONG,5015.31,Trail,5015.91,30.0,False,,,,0,30.0,30.0
2026-02-12,5076.82,LONG,5086.82,BE,5086.82,0.0,False,,,,0,0.0,0.0
2026-02-13,4931.33,LONG,4941.33,Trail,4942.53,60.0,False,,,,0,60.0,60.0
2026-02-17,4991.9,SHORT,4981.9,Trail,4981.3,30.0,False,,,,0,30.0,30.0
2026-02-18,4883.66,LONG,4893.66,Trail,4895.16,75.0,False,,,,0,75.0,75.0
2026-02-19,4988.69,SHORT,4978.69,TP,4975.69,150.0,False,,,,0,150.0,150.0
2026-02-20,4980.34,LONG,4990.34,Trail,4991.84,75.0,True,4980.34,Trail,4980.04,15.0,75.0,90.0
2026-02-24,5209.54,LONG,5219.54,Trail,5220.14,30.0,False,,,,0,30.0,30.0
2026-02-25,5159.5,SHORT,5149.5,BE,5149.5,0.0,False,,,,0,0.0,0.0
2026-02-26,5207.06,SHORT,5197.06,Trail,5196.46,30.0,False,,,,0,30.0,30.0
2026-02-27,5177.88,SHORT,5167.88,Trail,5166.38,75.0,True,5177.88,BE,5177.88,0.0,75.0,75.0
2026-03-03,5296.05,LONG,5306.05,TP,5309.05,150.0,False,,,,0,150.0,150.0
2026-03-04,5114.71,LONG,5124.71,TP,5127.71,150.0,False,,,,0,150.0,150.0
2026-03-05,5121.67,SHORT,5111.67,Trail,5109.27,120.0,False,,,,0,120.0,120.0
2026-03-06,5076.26,SHORT,5066.26,TP,5063.26,150.0,False,,,,0,150.0,150.0
2026-03-10,5105.23,LONG,5115.23,Trail,5116.13,45.0,False,,,,0,45.0,45.0
2026-03-11,5204.34,SHORT,5194.34,TP,5191.34,150.0,False,,,,0,150.0,150.0
2026-03-12,5177.84,SHORT,5167.84,BE,5167.84,0.0,False,,,,0,0.0,0.0
2026-03-13,5103.42,SHORT,5093.42,Trail,5092.52,45.0,False,,,,0,45.0,45.0
2026-03-17,5006.48,LONG,5016.48,Trail,5016.78,15.0,False,,,,0,15.0,15.0
2026-03-18,5001.21,LONG,5011.21,Trail,5011.81,30.0,False,,,,0,30.0,30.0
2026-03-19,4886.74,SHORT,4876.74,TP,4873.74,150.0,False,,,,0,150.0,150.0
2026-03-20,4606.22,LONG,4616.22,TP,4619.22,150.0,False,,,,0,150.0,150.0
2026-03-24,4432.12,LONG,4442.12,Trail,4444.22,105.0,False,,,,0,105.0,105.0
2026-03-25,4411.18,LONG,4421.18,Trail,4422.98,90.0,False,,,,0,90.0,90.0
2026-03-26,4553.7,SHORT,4543.7,Trail,4543.4,15.0,False,,,,0,15.0,15.0
2026-03-27,4379.31,LONG,4389.31,BE,4389.31,0.0,False,,,,0,0.0,0.0
2026-03-31,4523.04,SHORT,4513.04,Trail,4512.14,45.0,False,,,,0,45.0,45.0
2026-04-01,4649.81,LONG,4659.81,Trail,4660.71,45.0,False,,,,0,45.0,45.0
2026-04-02,4784.15,SHORT,4774.15,BE,4774.15,0.0,False,,,,0,0.0,0.0
2026-04-03,4647.11,LONG,4657.11,Trail,4657.71,30.0,False,,,,0,30.0,30.0
2026-04-07,4653.56,LONG,4663.56,Trail,4665.96,120.0,False,,,,0,120.0,120.0
2026-04-08,4664.87,LONG,4674.87,TP,4677.87,150.0,False,,,,0,150.0,150.0
2026-04-09,4752.3,SHORT,4742.3,Trail,4741.7,30.0,False,,,,0,30.0,30.0
2026-04-10,4789.93,LONG,4799.93,Trail,4800.53,30.0,False,,,,0,30.0,30.0
2026-04-14,4745.8,SHORT,4735.8,TP,4732.8,150.0,False,,,,0,150.0,150.0
2026-04-15,4826.75,LONG,4836.75,Trail,4838.85,105.0,False,,,,0,105.0,105.0
2026-04-16,4799.11,SHORT,4789.11,SL,4804.11,-750.0,True,4799.11,Trail,4800.91,90.0,-750.0,-660.0
2026-04-17,4787.79,LONG,4797.79,Trail,4798.09,15.0,False,,,,0,15.0,15.0
2026-04-21,4810.44,LONG,4820.44,Trail,4821.04,30.0,False,,,,0,30.0,30.0
2026-04-22,4698.29,LONG,4708.29,Trail,4710.09,90.0,False,,,,0,90.0,90.0
2026-04-23,4735.31,LONG,4745.31,TP,4748.31,150.0,False,,,,0,150.0,150.0
2026-04-24,4707.08,SHORT,4697.08,TP,4694.08,150.0,False,,,,0,150.0,150.0
2026-04-28,4680.26,LONG,4690.26,Trail,4690.86,30.0,False,,,,0,30.0,30.0
2026-04-29,4594.91,LONG,4604.91,BE,4604.91,0.0,False,,,,0,0.0,0.0
2026-04-30,4546.09,SHORT,4536.09,Trail,4533.99,105.0,False,,,,0,105.0,105.0
